Date,Open,High,Low,Close,Volume,Adj Close
2010-03-12,35.22,35.27,35.11,35.16,6262400,35.16
2010-03-11,35.07,35.27,35.00,35.22,4371500,35.22
2010-03-10,35.27,35.35,35.04,35.15,5969600,35.15
2010-03-09,35.06,35.62,35.04,35.12,5486200,35.12
2010-03-08,35.12,35.40,35.02,35.06,3850100,35.06
2010-03-05,35.08,35.44,34.93,35.16,8381900,35.16
2010-03-04,34.88,35.09,34.58,34.94,4440700,34.94
2010-03-03,34.87,35.15,34.61,34.82,4098900,34.82
2010-03-02,34.68,35.10,34.64,34.74,5603400,34.74
2010-03-01,34.63,35.00,34.53,34.89,4965000,34.89
2010-02-26,34.55,34.70,34.06,34.65,4792600,34.65
2010-02-25,33.80,34.59,33.54,34.56,7735500,34.56
2010-02-24,33.63,34.63,33.56,34.55,9545200,34.55
2010-02-23,33.68,33.82,33.20,33.44,7906000,33.44
2010-02-22,34.21,34.21,33.51,33.70,6119800,33.70
2010-02-19,33.80,34.16,33.56,33.88,12324000,33.88
2010-02-18,32.47,33.33,32.47,33.24,9614400,33.24
2010-02-17,32.16,32.43,31.96,32.33,9213000,32.33
2010-02-16,31.50,31.87,31.28,31.81,9113700,31.81
2010-02-12,32.25,32.28,31.28,31.45,21221400,31.45
2010-02-11,32.60,33.16,32.28,32.64,10125400,32.64
2010-02-10,33.45,33.55,32.57,32.76,9592000,32.76
2010-02-09,32.60,32.66,31.91,32.31,8047700,32.31
2010-02-08,32.77,32.79,32.02,32.05,8615600,32.05
2010-02-05,32.43,32.80,31.85,32.77,11881500,32.77
2010-02-04,32.88,32.96,32.20,32.24,9450300,32.24
2010-02-03,32.85,33.43,32.54,32.98,6732000,32.98
2010-02-02,32.54,33.13,32.31,32.98,5735700,32.98
2010-02-01,32.39,32.54,32.06,32.48,8705500,32.48
2010-01-29,32.95,33.24,32.17,32.30,8377800,32.30
2010-01-28,33.29,33.66,32.48,32.89,6417800,32.89
2010-01-27,33.68,33.68,32.65,33.14,9896900,33.14
2010-01-26,33.81,34.29,33.62,33.94,5356300,33.94
2010-01-25,34.63,34.98,33.97,34.16,6961500,34.16
2010-01-22,35.62,35.82,34.35,34.38,7721300,34.38
2010-01-21,36.49,36.65,35.46,35.82,7404400,35.82
2010-01-20,36.37,36.51,35.62,36.49,6258500,36.49
2010-01-19,35.87,37.02,35.81,36.95,5964100,36.95
2010-01-15,35.92,36.21,35.47,35.87,6732300,35.87
2010-01-14,36.13,36.51,35.79,35.90,4536200,35.90
2010-01-13,35.83,36.36,35.60,36.28,3660100,36.28
2010-01-12,36.14,36.14,35.38,35.66,5073900,35.66
2010-01-11,36.68,36.77,35.95,36.21,4901400,36.21
2010-01-08,36.75,36.97,36.34,36.69,5429200,36.69
2010-01-07,37.41,37.59,36.81,36.89,5576700,36.89
2010-01-06,37.33,37.74,37.20,37.62,5336400,37.62
2010-01-05,37.04,37.80,36.87,37.70,7108800,37.70
2010-01-04,36.65,37.30,36.65,37.09,4710200,37.09
2009-12-31,37.17,37.21,36.70,36.78,2900400,36.78
2009-12-30,37.03,37.50,37.03,37.18,2124100,37.18
2009-12-29,37.14,37.34,36.97,37.21,3093200,37.21
2009-12-28,37.18,37.42,36.97,37.19,2573500,37.19
2009-12-24,36.95,37.17,36.81,37.17,1350000,37.17
2009-12-23,37.37,37.37,36.86,36.93,5559600,36.93
2009-12-22,37.35,37.50,37.20,37.34,3192200,37.34
2009-12-21,37.38,37.68,37.04,37.28,5031900,37.28
2009-12-18,37.25,37.47,37.02,37.34,9331800,37.34
2009-12-17,37.46,37.52,36.99,37.01,6562800,37.01
2009-12-16,36.87,38.20,36.87,37.86,15618700,37.86
2009-12-15,35.58,36.66,35.50,36.36,8022900,36.36
2009-12-14,35.78,35.84,35.31,35.78,5446500,35.78
2009-12-11,35.90,35.98,35.15,35.38,4381500,35.38
2009-12-10,35.81,36.15,35.63,35.80,3884500,35.80
2009-12-09,35.85,36.00,35.26,35.85,4421500,35.85
2009-12-08,36.03,36.27,35.58,36.08,3863200,36.08
2009-12-07,36.46,36.84,36.20,36.37,3119500,36.37
2009-12-04,36.38,36.94,35.98,36.50,4433200,36.50
2009-12-03,36.42,36.84,36.00,36.00,3681300,36.00
2009-12-02,36.53,36.91,36.36,36.50,3645700,36.50
2009-12-01,35.46,36.53,35.27,36.40,5428900,36.40
2009-11-30,35.25,35.44,34.54,35.08,5075000,35.08
2009-11-27,35.01,35.66,34.63,35.38,2049600,35.38
2009-11-25,36.07,36.33,35.90,36.17,2504400,36.17
2009-11-24,36.15,36.44,35.84,35.95,3790700,35.95
2009-11-23,36.05,36.68,35.98,36.44,3085500,36.44
2009-11-20,35.72,36.07,35.49,35.81,3344500,35.81
2009-11-19,36.25,36.48,35.50,36.11,3754500,36.11
2009-11-18,36.59,36.78,36.00,36.59,3998400,36.59
2009-11-17,36.56,36.95,36.44,36.90,3283300,36.90
2009-11-16,36.51,37.15,36.11,36.81,5263200,36.81
2009-11-13,35.69,36.60,35.69,36.51,4988600,36.51
2009-11-12,35.82,36.11,35.41,35.61,5872900,35.61
2009-11-11,35.96,36.03,34.46,35.92,13794600,35.92
2009-11-10,36.56,36.75,36.35,36.60,5079500,36.60
2009-11-09,35.88,36.58,35.41,36.45,8883200,36.45
2009-11-06,34.59,35.19,34.38,34.65,3693900,34.65
2009-11-05,33.98,34.92,33.98,34.70,4164100,34.70
2009-11-04,33.30,34.52,32.95,33.86,7883400,33.86
2009-11-03,32.72,33.08,32.37,33.01,6512200,33.01
2009-11-02,32.80,33.10,32.37,32.87,4809000,32.87
2009-10-30,33.40,33.87,32.86,32.94,5810300,32.94
2009-10-29,33.11,33.68,32.70,33.54,6725500,33.54
2009-10-28,33.72,33.79,32.70,32.83,6169100,32.83
2009-10-27,34.54,34.91,33.79,33.95,4267200,33.95
2009-10-26,34.64,35.39,34.30,34.45,4379200,34.45
2009-10-23,35.14,35.57,34.56,34.78,3678100,34.78
2009-10-22,34.53,35.28,34.01,35.17,4913400,35.17
2009-10-21,35.35,35.69,34.74,34.81,5022700,34.81
2009-10-20,35.52,35.60,34.99,35.41,4357800,35.41
2009-10-19,35.76,35.93,35.49,35.65,4116500,35.65
2009-10-16,35.48,35.95,35.35,35.67,6908700,35.67
2009-10-15,35.08,35.85,35.07,35.75,8063600,35.75
2009-10-14,34.87,35.52,34.81,35.43,6908100,35.43
2009-10-13,34.25,34.71,34.16,34.62,4565100,34.62
2009-10-12,34.67,34.88,34.15,34.36,3597700,34.36
2009-10-09,34.08,34.77,33.98,34.64,3708700,34.64
2009-10-08,33.74,34.60,33.70,34.33,8629600,34.33
2009-10-07,33.74,33.74,33.06,33.26,4172400,33.26
2009-10-06,32.79,33.75,32.63,33.51,7117600,33.51
2009-10-05,32.37,32.72,32.12,32.55,4892100,32.55
2009-10-02,31.59,32.54,31.59,32.35,5922800,32.35
2009-10-01,32.66,32.78,31.96,32.18,7257000,32.18
2009-09-30,32.76,33.22,32.12,33.04,6632800,33.04
2009-09-29,32.88,33.22,32.53,32.68,5013100,32.68
2009-09-28,32.20,33.26,32.12,32.93,5849300,32.93
2009-09-25,32.11,32.41,31.89,32.03,4516700,32.03
2009-09-24,32.70,32.86,32.07,32.32,5947700,32.32
2009-09-23,33.03,33.33,32.68,32.71,6943000,32.71
2009-09-22,33.07,33.31,32.98,33.11,4369400,33.11
2009-09-21,32.75,33.65,32.75,32.85,5879700,32.85
2009-09-18,33.05,33.43,32.70,32.95,10512500,32.95
2009-09-17,33.55,33.59,32.72,32.84,13828300,32.84
2009-09-16,33.58,33.85,33.01,33.35,28912300,33.35
2009-09-15,35.29,35.78,34.80,35.62,10762500,35.62
2009-09-14,34.44,35.29,34.28,35.19,8245900,35.19
2009-09-11,34.11,34.98,34.05,34.65,7586300,34.65
2009-09-10,32.74,34.13,32.51,34.02,10199900,34.02
2009-09-09,32.25,32.92,32.12,32.80,5852200,32.80
2009-09-08,32.48,32.56,32.14,32.51,5160700,32.51
2009-09-04,31.63,32.10,31.43,32.05,4110800,32.05
2009-09-03,31.00,31.52,30.70,31.49,4344100,31.49
2009-09-02,31.14,31.27,30.73,31.00,5233100,31.00
2009-09-01,31.27,32.08,30.89,31.10,7670000,31.10
2009-08-31,31.58,31.81,31.10,31.42,7132200,31.42
2009-08-28,32.72,32.98,31.31,31.73,7114900,31.73
2009-08-27,32.35,32.56,31.72,32.46,5171400,32.46
2009-08-26,32.52,32.76,32.15,32.51,4054800,32.51
2009-08-25,32.67,32.97,32.33,32.67,3857300,32.67
2009-08-24,32.85,33.23,32.52,32.73,4737200,32.73
2009-08-21,32.44,32.93,32.00,32.84,5108600,32.84
2009-08-20,31.83,32.19,31.48,32.10,4676000,32.10
2009-08-19,31.45,31.88,31.17,31.72,5001200,31.72
2009-08-18,31.28,31.92,31.10,31.72,4925700,31.72
2009-08-17,31.72,31.90,31.12,31.21,5500600,31.21
2009-08-14,33.21,33.29,31.86,32.27,8012600,32.27
2009-08-13,33.32,33.47,32.76,33.43,6055200,33.43
2009-08-12,31.87,33.32,31.84,33.04,6236700,33.04
2009-08-11,32.56,32.60,31.79,31.92,6549100,31.92
2009-08-10,32.80,33.49,32.65,32.82,4476300,32.82
2009-08-07,33.01,33.46,32.79,33.22,5213800,33.22
2009-08-06,32.01,32.54,31.87,32.42,6419900,32.42
2009-08-05,33.12,33.12,31.48,32.01,10117400,32.01
2009-08-04,32.60,33.26,32.56,33.00,4677500,33.00
2009-08-03,32.61,33.00,32.42,32.68,4720700,32.68
2009-07-31,32.38,32.86,32.28,32.42,4226300,32.42
2009-07-30,32.54,33.34,32.17,32.28,5653500,32.28
2009-07-29,32.18,32.29,31.70,32.06,4935900,32.06
2009-07-28,32.45,32.91,32.04,32.33,7579900,32.33
2009-07-27,32.56,32.90,32.21,32.61,5254100,32.61
2009-07-24,31.83,32.69,31.67,32.63,5921400,32.63
2009-07-23,31.21,32.33,31.13,32.31,7242300,32.31
2009-07-22,31.04,31.48,31.00,31.34,5624400,31.34
2009-07-21,31.03,31.35,30.84,31.26,6274000,31.26
2009-07-20,30.74,31.35,30.62,31.21,6790700,31.21
2009-07-17,30.90,31.06,30.39,31.02,6301300,31.02
2009-07-16,29.67,30.94,29.54,30.87,9327800,30.87
2009-07-15,29.18,29.91,29.00,29.85,11216500,29.85
2009-07-14,28.09,28.45,27.93,28.30,8136800,28.30
2009-07-13,27.56,28.45,26.90,28.37,8030700,28.37
2009-07-10,27.14,27.73,27.07,27.58,6069800,27.58
2009-07-09,26.72,27.58,26.53,27.42,8078000,27.42
2009-07-08,26.63,26.63,26.08,26.47,10199100,26.47
2009-07-07,27.02,27.21,26.30,26.34,6454800,26.34
2009-07-06,27.10,27.42,26.81,27.16,7269400,27.16
2009-07-02,28.11,28.47,27.58,27.64,4254100,27.64
2009-07-01,28.38,29.19,28.38,28.66,5557300,28.66
2009-06-30,28.76,28.79,27.94,28.30,6104800,28.30
2009-06-29,28.13,28.76,28.05,28.62,4468300,28.62
2009-06-26,27.50,28.31,27.48,28.00,6420200,28.00
2009-06-25,27.87,28.64,27.41,28.52,6417100,28.52
2009-06-24,27.59,28.38,27.50,27.74,7141400,27.74
2009-06-23,27.55,27.85,27.20,27.71,8013800,27.71
2009-06-22,28.56,28.78,27.31,27.31,12028200,27.31
2009-06-19,28.99,29.44,28.94,29.33,9214800,29.33
2009-06-18,28.95,28.95,28.20,28.72,7368000,28.72
2009-06-17,28.27,29.00,28.00,28.68,12654200,28.68
2009-06-16,29.07,29.13,28.13,28.17,9992300,28.17
2009-06-15,29.99,29.99,28.54,28.82,11226100,28.82
2009-06-12,30.60,30.67,29.61,30.15,5478600,30.15
2009-06-11,30.36,31.00,30.10,30.40,7257600,30.40
2009-06-10,29.88,30.43,29.63,30.17,8515300,30.17
2009-06-09,29.40,29.97,29.15,29.77,5288500,29.77
2009-06-08,29.78,29.90,28.85,29.17,6755500,29.17
2009-06-05,29.45,30.34,28.79,29.98,8839100,29.98
2009-06-04,28.71,29.55,28.68,29.44,7161700,29.44
2009-06-03,29.05,29.49,28.30,29.06,8572700,29.06
2009-06-02,29.17,29.75,29.08,29.59,7365400,29.59
2009-06-01,28.30,29.50,28.30,29.36,6602700,29.36
2009-05-29,27.49,28.19,27.02,28.18,6950300,28.18
2009-05-28,27.25,27.64,26.57,27.54,7651000,27.54
2009-05-27,27.67,28.07,27.15,27.25,5013700,27.25
2009-05-26,26.31,27.95,26.10,27.89,6088000,27.89
2009-05-22,26.00,27.04,26.00,26.48,4959400,26.48
2009-05-21,25.90,26.15,25.70,26.07,6320700,26.07
2009-05-20,26.69,27.32,26.31,26.39,5324300,26.39
2009-05-19,26.25,26.81,26.01,26.56,3509500,26.56
2009-05-18,25.94,26.52,25.70,26.48,4461700,26.48
2009-05-15,25.97,26.35,25.52,25.92,4806500,25.92
2009-05-14,25.20,26.15,25.20,25.93,6721000,25.93
2009-05-13,25.99,26.03,25.12,25.17,7911300,25.17
2009-05-12,26.32,26.34,25.67,25.99,5077900,25.99
2009-05-11,24.85,26.36,24.78,26.15,7683800,26.15
2009-05-08,26.06,26.53,25.21,25.42,7674000,25.42
2009-05-07,26.58,26.64,25.38,25.63,7950000,25.63
2009-05-06,26.89,27.04,25.66,26.35,9995800,26.35
2009-05-05,26.74,26.91,26.20,26.89,8157400,26.89
2009-05-04,26.59,26.75,25.88,26.69,14574300,26.69
2009-05-01,27.08,28.00,27.02,27.46,9135200,27.46
2009-04-30,27.10,27.71,26.73,27.35,9140100,27.35
2009-04-29,25.99,26.84,25.59,26.75,9035900,26.75
2009-04-28,25.70,25.95,25.25,25.70,8099900,25.70
2009-04-27,25.92,26.65,25.70,26.14,9240400,26.14
2009-04-24,24.51,26.49,24.45,26.42,13798600,26.42
2009-04-23,23.86,24.49,23.54,24.48,8006200,24.48
2009-04-22,23.21,24.74,23.21,24.16,7045200,24.16
2009-04-21,23.35,24.13,23.25,23.75,7443000,23.75
2009-04-20,24.43,24.43,23.33,23.46,6963600,23.46
2009-04-17,24.60,24.87,24.05,24.70,7899500,24.70
2009-04-16,24.14,24.59,23.44,24.38,9291000,24.38
2009-04-15,23.77,23.92,23.12,23.64,6980500,23.64
2009-04-14,24.38,24.49,23.84,24.01,6545000,24.01
2009-04-13,24.60,24.89,24.22,24.72,5581800,24.72
2009-04-09,24.48,24.97,24.28,24.87,8500700,24.87
2009-04-08,23.81,24.17,23.47,23.92,5991300,23.92
2009-04-07,23.61,23.66,22.76,22.96,9809500,22.96
2009-04-06,23.85,24.00,22.78,23.19,8072400,23.19
2009-04-03,23.25,24.26,23.25,24.16,8229300,24.16
2009-04-02,22.79,23.84,22.61,23.28,11062100,23.28
2009-04-01,20.93,22.18,20.79,21.96,7287000,21.96
2009-03-31,20.93,21.87,20.83,21.39,8531000,21.39
2009-03-30,21.33,21.48,20.39,20.82,9617500,20.82
2009-03-27,22.56,22.70,21.81,21.84,6422600,21.84
2009-03-26,22.18,23.00,22.18,22.94,9777700,22.94
2009-03-25,22.00,22.44,21.50,22.10,10774000,22.10
2009-03-24,22.59,22.59,21.72,21.86,9501800,21.86
2009-03-23,21.20,22.69,21.01,22.69,13186800,22.69
2009-03-20,21.01,21.79,20.39,20.46,10267300,20.46
2009-03-19,21.84,22.58,20.89,21.24,13667100,21.24
2009-03-18,19.41,22.09,19.34,21.35,20855100,21.35
2009-03-17,18.62,19.15,18.16,19.13,9276200,19.13
2009-03-16,18.69,19.00,18.34,18.45,11898500,18.45
2009-03-13,19.24,19.31,18.33,18.68,11491000,18.68
2009-03-12,18.47,19.51,18.28,19.43,9734900,19.43
2009-03-11,18.18,18.85,18.03,18.63,8658800,18.63
2009-03-10,17.19,18.54,17.11,18.52,11748000,18.52
2009-03-09,17.03,17.59,16.72,16.78,9298200,16.78
2009-03-06,17.16,17.43,16.75,17.16,10507400,17.16
2009-03-05,18.16,18.19,16.31,16.92,26498300,16.92
2009-03-04,16.16,16.61,15.90,16.32,8999700,16.32
2009-03-03,16.15,16.48,15.87,15.98,12539500,15.98
